dataset,llsqreg,ridgereg,lasso,sparse_encoded_lasso,l1l2,importance,importance_corfilter,stepwise,inipg,ga_uniform
abalone,1.0,7.0,5.0,2.0,6.0,4.0,3.0,9.0,8.0,9.0
adult,3.0,3.0,8.0,6.0,2.0,9.0,10.0,7.0,5.0,1.0
cancer,1.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0
card,7.0,7.0,3.0,3.0,1.0,9.0,10.0,6.0,2.0,5.0
covtype,2.0,2.0,1.0,4.0,6.0,9.0,9.0,5.0,7.0,8.0
gene,7.0,7.0,2.0,3.0,6.0,4.0,4.0,1.0,9.0,10.0
glass,4.0,1.0,9.0,7.0,10.0,3.0,2.0,8.0,5.0,6.0
heart,2.0,2.0,10.0,8.0,5.0,6.0,7.0,9.0,1.0,4.0
horse,7.0,7.0,9.0,9.0,2.0,5.0,5.0,1.0,4.0,3.0
madelon,6.0,4.0,1.0,3.0,7.0,9.0,10.0,2.0,5.0,8.0
optdigits,1.0,1.0,6.0,4.0,3.0,8.0,8.0,5.0,7.0,10.0
page-blocks,1.0,2.0,6.0,3.0,10.0,9.0,8.0,4.0,5.0,7.0
pendigits,1.0,1.0,5.0,4.0,6.0,8.0,8.0,1.0,7.0,10.0
poker,1.0,1.0,9.0,8.0,4.0,6.0,6.0,10.0,3.0,5.0
satimage,2.0,1.0,5.0,3.0,7.0,9.0,8.0,4.0,6.0,10.0
segmentation,1.0,2.0,5.0,4.0,8.0,9.0,7.0,3.0,6.0,10.0
shuttle,3.0,5.0,9.0,6.0,10.0,8.0,7.0,3.0,2.0,1.0
soybean,2.0,2.0,6.0,4.0,1.0,7.0,5.0,9.0,8.0,10.0
spect,9.0,9.0,7.0,1.0,3.0,4.0,4.0,2.0,8.0,6.0
thyroid,1.0,1.0,1.0,1.0,10.0,8.0,8.0,1.0,1.0,1.0
vehicle,2.0,1.0,6.0,3.0,7.0,10.0,9.0,5.0,4.0,8.0
waveform,2.0,5.0,3.0,4.0,1.0,9.0,10.0,6.0,7.0,8.0
mean,3.0,3.27,5.5,4.32,5.45,7.0,6.95,4.64,5.23,6.59
