nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
1,0.7526041666666666,0.7395833333333334,0.6965840756543653,0.6814863968148639,1,33,2
2,0.7578125,0.7552083333333334,0.7092022441717492,0.7022077022077022,2,33,2
3,0.7682291666666666,0.765625,0.7231165590491854,0.7148797148797149,2,33,2
4,0.7682291666666666,0.7760416666666666,0.7202701043585021,0.7303987199164027,3,33,2
5,0.7734375,0.7604166666666666,0.725116221664541,0.7130604288499025,3,33,2
6,0.7734375,0.7604166666666666,0.7293386588458328,0.7130604288499025,4,33,2
7,0.7708333333333334,0.75,0.7212157212157213,0.7005847953216374,5,33,2
8,0.7760416666666666,0.75,0.7289915966386555,0.7005847953216374,5,33,2
9,0.7760416666666666,0.75,0.7289915966386555,0.6974789915966386,6,33,2
10,0.7864583333333334,0.75,0.7402237402237402,0.6942269409422694,7,33,2
11,0.7994791666666666,0.75,0.7604491578290704,0.6942269409422694,8,33,2
12,0.7942708333333334,0.7395833333333334,0.754227058032423,0.6848739495798319,9,33,2
13,0.7916666666666666,0.7447916666666666,0.751737514142557,0.692779936648924,10,33,2
14,0.78125,0.7552083333333334,0.7406073082861555,0.7053195310714169,10,33,2
15,0.7838541666666666,0.7395833333333334,0.7391282995702885,0.6881091617933723,10,33,2
16,0.7838541666666666,0.734375,0.7391282995702885,0.6802403422264311,11,33,2
17,0.7734375,0.7291666666666666,0.7279633897090556,0.6756335282651073,12,33,2
18,0.78125,0.7239583333333334,0.7352941176470589,0.6677007478039383,13,33,2
19,0.7864583333333334,0.71875,0.7415966386554622,0.6631578947368422,13,33,2
20,0.7890625,0.7135416666666666,0.7440737236187107,0.6586390819460158,14,33,2
21,0.78125,0.71875,0.7352941176470589,0.6596638655462186,15,33,2
22,0.7864583333333334,0.71875,0.7442495126705653,0.6596638655462186,15,33,2
23,0.796875,0.71875,0.7554779087613885,0.6631578947368422,16,33,2
24,0.7994791666666666,0.71875,0.755407942954991,0.6596638655462186,17,33,2
25,0.8020833333333334,0.7083333333333334,0.7605042016806722,0.6470588235294117,17,33,2
26,0.8046875,0.7083333333333334,0.7630312255728803,0.6470588235294117,18,33,2
27,0.8046875,0.7083333333333334,0.7630312255728803,0.6470588235294117,19,33,2
28,0.8098958333333334,0.734375,0.7717393959627709,0.6733277731442869,20,33,2
29,0.8125,0.734375,0.775438596491228,0.6733277731442869,21,33,2
30,0.8098958333333334,0.7395833333333334,0.7728933574223655,0.6814863968148639,22,33,2
31,0.8046875,0.7447916666666666,0.7654856807836687,0.6895356895356894,23,33,2
